"あいかわらず";"aikawarazu";"seperti biasanya; seperti sebelumnya; seperti biasa; tetap"
"やかましい";"yakamashii";"bising; keras; riuh, banyak dibicarakan; kesal, ketat; berat; tegas, khusus; cerewet; rewel; mencari-cari kesalahan; kebawelan"
"夜間";"yakan";"malam; waktu malam"
"薬缶";"yakan";"ketel"
"夜行";"yagyou ; yakou";"kolom "ya" pada tabel suku kata Jepang (ya, yu, yo) ; berjalan-jalan di malam hari; perjalanan malam, kereta malam"
"役者";"yakusha";"aktor; aktris, pria yang cerdas; orang pintar; orang yang licik"
"役所";"yakusho ; yakudokoro";"kantor pemerintahan; kantor publik ; peran yang ditugaskan; tugas; posisi, peran yang sesuai; pekerjaan yang paling sesuai"
"やくす";"yakusu";"untuk menerjemahkan; untuk menafsirkan ; untuk memerintah; untuk mendominasi, untuk mencegah; untuk menghalangi, untuk mencengkeram; untuk memegang"
"役人";"yakunin";"pejabat pemerintah"
"薬品";"yakuhin";"obat-obatan; bahan kimia"
"役目";"yakume";"tugas; peran; fungsi"
"やけど";"yakedo";"membakar; melepuh"
"やじるし";"yajirushi";"panah (simbol), (romantis) minat (untuk orang tertentu); arah (perhatian seseorang, dll.)"
"やたら";"yatara";"tanpa pandang bulu; secara membabi buta; sembarangan; secara serampangan; tanpa berpikir panjang; berlebihan; banyak, sembarangan; acak; berlebihan"
"薬局";"yakkyoku";"farmasi; toko obat; apotek (toko), apotek rumah sakit; apotek"
"やっつける";"yattsukeru";"untuk mengalahkan; untuk menyerang (musuh); untuk menyingkirkan; untuk menyelesaikan"
"やっぱり";"yappari";"seperti yang diharapkan; tentu saja; sama seperti satu pemikiran, pada akhirnya (diucapkan dan dilakukan); pada akhirnya; seperti yang diharapkan; dalam hal apa pun, juga; demikian juga; (tidak) baik, masih; seperti sebelumnya, sama saja; walaupun demikian; tetap; Namun"
"家主";"yanushi ; ienushi ; iearuji";"Tuan Rumah; induk semang, pemilik rumah; kepala rumah tangga"
"破く";"yabuku";"merobek; untuk merobek"
"破れる";"yabureru ; wareru";"untuk robek; merobek; untuk merobek; untuk memecahkan; menjadi usang, putus (negosiasi, dll.); untuk memecah; runtuh; jatuh ke dalam kehancuran ; untuk memecahkan; untuk dihancurkan, untuk dibelah; untuk memecahkan; untuk retak; terkoyak, terpecah belah (pendapat, suara, dan lain-lain); untuk berpisah (misalnya pesta), terungkap; menjadi jelas; untuk diidentifikasi, terdistorsi (suara), dapat dibagi (tanpa sisa), kurang dari nilai minimum"
"やむをえない";"yamuwoenai";"tidak bisa ditolong; tidak bisa dihindari"
"やる";"yaru";"melakukan; untuk melakukan; untuk bermain (permainan); untuk belajar, untuk mengirim, menempatkan; untuk bergerak; untuk memutar (kepala, pandangan sekilas, dll.), memberi (khususnya kepada seseorang yang statusnya setara atau lebih rendah); untuk membiarkan; untuk menyajikan; untuk melimpahkan; untuk berunding, untuk membuat (kendaraan) melaju lebih cepat, untuk menjalankan (bisnis); untuk menjaga; untuk terlibat; untuk berlatih (hukum, kedokteran, dll.); berlatih, memiliki (makanan, minuman, dsb.); untuk makan; untuk minum; merokok, mengadakan (pertunjukan); untuk melakukan; untuk menunjukkan, untuk menenangkan (pikiran seseorang), untuk menyakiti; melukai; membunuh, berhubungan seks, untuk hidup; untuk bertahan hidup; bergaul, melakukan... sepenuhnya, melakukan... secara luas; melakukan... dalam jarak yang sangat jauh, melakukan... untuk (seseorang yang statusnya setara atau lebih rendah); untuk melakukan... untuk, melakukan upaya aktif untuk... ; untuk melakukan seseorang; untuk menabrak seseorang ; untuk melakukan; bermain; untuk beraksi ; untuk berhubungan seks dengannya"
"軟らかい";"yawarakai";"lembut; liat; luwes; lentur; lemas, lembut, informal; lampu; fleksibel (misalnya berpikir)"
"遊園地";"yuuenchi";"Taman Hiburan"
"夕刊";"yuukan";"koran malam"
"友好";"yuukou";"persahabatan"
"郵送";"yuusou";"pengiriman surat; posting"
"夕立";"yuudachi";"(tiba-tiba) mandi sore (hujan)"
"ゆうゆう";"yuuyuu";"diam; tenang; santai, dengan mudah; dengan nyaman; tanpa kesulitan, jauh; tak terbatas; tak ada habisnya; abadi ; menangis (seperti rusa), terisak-isak ; sedih; melankolis ; tenang; tersusun; santai, anggun; Dihilangkan ; dalam; gelap"
"有料";"yuuryou";"membebankan biaya; dibayar; tidak bebas, jalan tol"
"浴衣";"yukata ; yokui";"yukata (kimono katun ringan yang dikenakan di musim panas atau digunakan sebagai jubah mandi)"
"輸血";"yuketsu";"transfusi darah"
"湯気";"yuge";"uap; uap air"
"輸送";"yusou";"mengangkut; angkutan"
"油断";"yudan";"kelalaian; kecerobohan; kekurangan perhatian; ketidaksiapan"
"ゆでる";"yuderu";"merebus (sesuatu dalam air panas), mengobati dengan uap obat (bengkak, dll.)"
"湯飲み";"yunomi";"cangkir teh"
"ゆるい";"yurui";"longgar, toleran; longgar, lembut (kurva, kemiringan, dll.), lambat; lemah, lembut; tidak tegas, sulit; keras"
"溶岩";"yougan";"lahar"
"ようき";"youki";"wadah; kapal; kemasan ; ceria; periang; hidup, cuaca; musim, semangat Yang ; udara hantu; udara aneh; suasana yang tidak wajar ; hantu, wanita cantik, hantu wanita cantik ; sublimasi (filsafat); pengabaian ; hantu; penampakan; momok; setan; raksasa; goblin ; alat; instrumen"
"用語";"yougo";"ketentuan; terminologi, kata-kata; pilihan kata; fraseologi"
"ようし";"youshi";"penampilan (fisik) (seseorang); wajah dan sosok seseorang ; formulir kosong, lembar kertas; selembar kertas ; titik; penting; inti; ringkasan; dasar-dasar ; proton ; anak angkat (usu. laki-laki); menantu ; Koran Barat; kertas yang diproduksi dengan cara Barat ; terak; siput cair (dari logam) ; Baiklah; tepat; terlihat bagus; OKE ; kematian dini"
"幼児";"youji";"anak kecil; balita, anak di atas 1 tahun tetapi belum usia sekolah"
"容積";"youseki";"kapasitas; volume"
"ようち";"youchi";"masa bayi, kekanak-kanakan; belum dewasa; primitif ; lokasi ; tempat penting; titik strategis; lokasi kritis ; kolam yang indah; tempat di mana makhluk abadi tinggal ; serangan malam"
"ようちえん";"youchien";"taman kanak-kanak"
"用途";"youto";"menggunakan; melayani; tujuan"
"洋品店";"youhinten";"toko yang menjual pakaian dan aksesoris gaya Barat"
"ようぶん";"youbun";"Kata atau kalimat Barat, kata yang dibuat dengan menerjemahkan komponen kata Barat ; makanan; gizi"
"ようもう";"youmou";"wol"
"ようやく";"youyaku";"Akhirnya, nyaris; hampir tidak; hanya, secara bertahap; sedikit demi sedikit ; ringkasan; intisari ; melompat kegirangan; melompat-lompat"
"要領";"youryou";"titik; inti; penting; prinsip; garis besar, keahlian; menipu; tali"
"よくばり";"yokubari";"ketamakan; orang yang serakah"
"余計";"yokei";"tambahan; lagi; terlalu banyak; berlebihan; tak berguna; meluangkan; kelebihan, tidak perlu; tidak beralasan; tidak diinginkan; tanpa diundang, terlebih lagi; bahkan lebih"
"よこす";"yokosu";"mengirim; untuk meneruskan, untuk menyerahkan (misalnya uang)"
"汚す";"yogosu ; kegasu";"mencemari; ke tanah; untuk membuat kotor; untuk menodai, menjadi aib; untuk tidak menghormati; untuk menajiskan"
"寄せる";"yoseru";"untuk mendekat; membiarkan seseorang mendekat, untuk mendekat; untuk menyatukan; untuk mengumpulkan, untuk menyampaikan (pendapat, berita, dll); untuk mengirim (misalnya surat); untuk berkontribusi; menyumbang, membiarkan seseorang mampir, menambahkan (angka), memiliki perasaan (cinta, niat baik, kepercayaan, dll.), untuk diandalkan untuk sementara waktu; bergantung pada, untuk digunakan sebagai dalih, untuk mengesampingkan, untuk menekan; untuk mendorong; untuk memaksa, untuk memasukkan; untuk menyambut (dalam kelompok); untuk membiarkan masuk"
"余所";"yoso";"tempat lain; di tempat lain; bagian, luar yang aneh (keluarga atau kelompok seseorang); orang lain, tidak peduli; bersikap acuh tak acuh terhadap; kurang memperhatikan; mengabaikan"
"よっぱらい";"yopparai";"pemabuk"
"よつかど";"yotsukado";"empat sudut, persimpangan jalan; sudut jalan"
"予備";"yobi";"menyimpan; cadangan, persiapan"
"呼び掛ける";"yobikakeru";"untuk memanggil; untuk menyambut; untuk mengatasi, untuk mengajukan banding"
"呼び出す";"yobidasu";"untuk memanggil; untuk menelepon (misalnya telepon); untuk bersidang; untuk umpan; untuk memikat, untuk memanggil (misalnya subrutin); memanggil; untuk membuka (misalnya file)"
"よみがえる";"yomigaeru";"untuk dibangkitkan; untuk diresusitasi; untuk direhabilitasi; untuk dihidupkan kembali; untuk disegarkan; untuk dipulihkan, untuk diingat (misalnya kenangan); untuk dibawa kembali"
"因る";"yoru";"karena; disebabkan oleh, tergantung pada; untuk menghidupkan, untuk didasarkan pada; berasal dari, berbasis di (lokasi, organisasi); untuk berkantor pusat di"
"よろこび";"yorokobi";"sukacita; pengangkatan; kesenangan; kepuasan; kegembiraan; Selamat; ucapan selamat"
"よろこぶ";"yorokobu";"menjadi senang; dengan senang hati, mengucapkan selamat, menerima dengan penuh syukur"
"来日";"rainichi ; raijitsu";"kedatangan di Jepang; datang ke Jepang; kunjungan ke Jepang ; hari yang akan datang; tanggal kemudian"
"らくだい";"rakudai";"kegagalan (dalam ujian); gagal untuk maju (ke tahun berikutnya), di bawah standar; tidak naik kelas"
"らん";"ran";"bagian (misalnya di surat kabar); kolom; halaman, bidang (dalam formulir, halaman web, dll.); kosong, pegangan; pagar; pegangan tangga; langkan ; anggrek, Belanda ; cemerlang; terang ; memberontak; pemberontakan; perang ; kain yang dibungkus secara horizontal menjadi bagian bawah beberapa pakaian tradisional Jepang ; luan (burung mitos Tiongkok) ; telur; bakal biji; sel telur ; lihat, periksa; melihat ; banjir, meluap; berlebihan ; pagar, langkan; panci binatang ; mendambakan ; pegang (di tangan) ; pohon chinaberry, bulat, serasi ; Pohon zaitun Cina ; gelombang besar ; keranjang ; kain perca"
"乱暴";"ranbou";"kekerasan; menyerang; melakukan kerusuhan, kasar (misalnya penanganan); ceroboh; kasar; tidak masuk akal (misalnya permintaan); liar (misalnya pertengkaran), pemerkosaan; penyerangan seksual"
"理科";"rika";"sains (termasuk matematika, kedokteran, dll.); ilmu alam, departemen sains (universitas); kursus sains, sains (sebagai mata pelajaran sekolah)"
"利害";"rigai";"keuntungan dan kerugian; kepentingan (para pihak)"
"略す";"ryakusu";"untuk menyingkat; untuk menghilangkan, mengambil; untuk menangkap"
"流域";"ryuuiki";"cekungan drainase; daerah tangkapan air; cekungan sungai; batas air; lembah"
"りょう";"ryou";"penangkapan ikan; mengumpulkan makanan laut (misalnya kerang, rumput laut), hasil tangkapan (misalnya ikan); mengangkut ; baik (kualitas, kondisi, dll.), Baik (kelas); B ; keduanya (tangan, orang tua, samping, dll.), konter untuk gerbong (misalnya di kereta); counter untuk kendaraan, ryō; tael; satuan berat tradisional (untuk emas, perak dan obat-obatan), 4-5 monme, 15-19 g, ryō; satuan mata uang pra-Meiji, asal. nilai satu ryō emas, ryō; ukuran kain tradisional, 2 tan, ryō; tael; satuan berat di bawah sistem Ritsuryo, 1/16 kin, penghitung 42-43 g, untuk pakaian, set baju besi, dll. ; menyelesaikan; penyelesaian; tamat ; asrama, biro (departemen pemerintah di bawah kementerian di bawah sistem ritsuryo), ruang upacara minum teh, villa ; biaya; mengenakan biaya; menilai, bahan ; memburu; menembak, permainan; tambang ; kuantitas; jumlah; volume; kapasitas; porsi (makanan), kemurahan hati; toleransi, pramana; (dalam filsafat India) artinya seseorang memperoleh pengetahuan yang akurat dan valid ; mausoleum kekaisaran; Makam Kaisar, bukit besar ; naga (khususnya naga Cina), naga; chimera manusia-kobra semi-ilahi dalam mitologi Hindu dan Budha, mempromosikan benteng ; makanan; bekal, gizi (mental, spiritual, dll); rezeki (misalnya seumur hidup); sumber dorongan ; wilayah (negara, wilayah feodal, dll.), konter untuk pakaian, set baju besi, dll. ; Dinasti Liang (dari Tiongkok; 502-557) ; hukum administrasi dan perdata ; fakta; kebenaran; memahami; pertimbangan ; tepian; sudut, punggung bukit (misalnya gunung) ; Liao (Dinasti Manchuria; 916-1125 M); Kekaisaran Khitan ; loket untuk gerbong (misalnya di dalam kereta api); counter untuk kendaraan ; angin sejuk; udara sejuk; kesejukan yang menyegarkan ; semangat dendam; hantu pendendam ; rekan, kolega; pejabat; birokrasi; wajah yang cantik ; disembuhkan, pulih ; cerah, jernih; berpandangan jernih ; cerah, cemerlang, bercahaya, ringan ; murni; berbudi luhur; menyinggung; menganiaya ; berbukit, curam, terjal ; untuk membakar, membakar; untuk menerangi; lampu sinyal ; dingin; kecewa ; keahlian ; membuang-buang waktu, nama ayah Kaisar Yao ; kesepian ; bahan bakar yang digunakan untuk kurban ; surai, bulu, seperti pada babi, sirip punggung ; beras berkualitas tinggi ; pakai, putar ; jangkrik ; roh pohon dan batu ; gelatik"
"両側";"ryougawa ; ryousoku";"kedua sisi"
"漁師";"ryoushi";"nelayan"
"領収";"ryoushuu";"penerimaan (uang); menerima"
"領事";"ryouji";"konsul"
"りんじ";"rinji";"sementara, khusus; luar biasa ; perintah Kaisar; pesan pribadi dari seorang kaisar"
"留守番";"rusuban";"kepedulian; menjaga rumah; mengawasi rumah; tinggal di rumah, penjaga; penjaga rumah"
"例外";"reigai";"pengecualian"
"零点";"reiten";"nol (titik, tanda); tidak ada tanda, nol (dari suatu fungsi); akar, nol derajat (Celcius); titik beku"
"冷凍";"reitou";"pembekuan; penyimpanan dingin; pendinginan"
"列島";"rettou";"kepulauan; rangkaian pulau"
"れんが";"renga";"bata ; seni atau gambar sekuensial (jenis cerita yang dicetak dan grafis, dibedakan dari manga karena penggunaan ruang halaman yang banyak, seringkali hanya satu panel per halaman, dan hemat penggunaan dialog) ; kanji "api" radikal di bagian bawah ; renga (bentuk puisi Jepang awal); ayat terkait; dialog puitis"
"連合";"rengou";"Persatuan; persekutuan; kombinasi, RENGO (Konfederasi Serikat Buruh Jepang)"
"ろうそく";"rousoku";"lilin"
"録音";"rokuon";"rekaman audio"
"論ずる";"ronzuru";"mendiskusikan; Berbicara tentang; untuk menangani (suatu topik), berdebat; untuk membantah, untuk mempertimbangkan; untuk membuat masalah"
"和英";"waei";"Kamus Jepang-Inggris, Jepang-Inggris"
"分る";"wakaru";"untuk mengerti; untuk memahami; untuk melihat; mendapatkan; mengikuti, menjadi jelas; untuk diketahui; untuk ditemukan; untuk direalisasikan, Saya tahu!; Aku pikir juga begitu!"
"分かれる";"wakareru";"untuk bercabang; untuk menyimpang, untuk memisahkan; untuk membagi, untuk membubarkan; untuk menyebar"
"わかわかしい";"wakawakashii";"awet muda; muda; tampak muda"
"わく";"waku";"bingkai; kerangka, batas; kotak, batas; larangan; kategori kuota, ; mengurung; kelas, slot waktu (dalam jadwal siaran), streaming langsung; siaran langsung (online), spool (utas); kumparan ; menjadi panas (misalnya air); mendidih, menjadi bersemangat (pada); meletus (dengan tepuk tangan, sorak-sorai, dll.); berada dalam fermentasi; berlangsung dengan penuh semangat, berfermentasi, meleleh (logam) ; untuk dengan baik (naik); untuk memancar keluar (air); untuk keluar; melonjak, muncul (khususnya tiba-tiba) (keringat, air mata, dll.), merasakan emosi dari (kegembiraan, keberanian, dll.), menetas (khususnya serangga parasit, dll.) ; gulungan (dari benang); kumparan ; klesha ; kehangatan matahari musim semi ; sebentar lagi, laut lepas, menjulang tinggi ke angkasa"
"わびる";"wabiru";"untuk meminta maaf; meminta maaf ; menjadi khawatir; untuk berduka; untuk dirindukan"
"和服";"wafuku";"pakaian Jepang"
"わりあいに";"wariaini";"relatif"
"割算";"warizan";"divisi"
"割と";"warito";"relatif"
"割引";"waribiki";"diskon; pengurangan; rabat, diskon sepersepuluh; sepersepuluh berkurang"
"わん";"wan";"mangkuk (kayu), konter untuk mangkuk makanan atau minuman ; teluk; masuk ; pakan; arf; busur-wow ; melengkung, merentangkan busur ; teluk, saluran masuk ; membungkuk ; mangkuk (keramik, porselen), konter untuk mangkuk makanan atau minuman"
"アイデア";"aidea";"ide"
"アイディア";"aidhia";"ide"
"アクセント";"akusento";"aksen (pada suku kata, kata); menekankan; aksen nada, intonasi; infleksi; irama, (bahasa) aksen (misalnya Amerika, Inggris), aksen (misalnya dalam desain); menyorot; penekanan, aksen (pada catatan)"
"アンテナ";"antena";"antena, benda atau metode yang digunakan untuk mengumpulkan informasi atau pendapat"
"イコール";"ikooru";"setara; padanan, sama dengan tanda; tanda kesetaraan, sama dengan (seperti dalam "A sama dengan B")"
"インキ";"inki";"tinta"
"インタビュー";"intabyuu";"wawancara (yaitu televisi, surat kabar, dll.)"
"ウエートレス";"ueetoresu";"pelayan"
"ウーマン";"uuman";"wanita"
"ウール";"uuru";"wol"
"エチケット";"echiketto";"kesopanan; kesantunan; etiket"
"エプロン";"epuron";"apron, apron (bandara), apron (panggung)"
"オイル";"oiru";"minyak; minyak bumi, minyak; pelumas, minyak (memasak), minyak (pijat); salep, minyak tanah, oli mesin"
"オルガン";"orugan";"organ (alat musik)"
"オーケストラ";"ookesutora";"orkestra"
"オートメーション";"ootomeeshon";"otomatisasi"
"オーバーコート";"oobaakooto";"mantel"
"カセット";"kasetto";"kaset (tape), kartrid permainan"
"カバー";"kabaa";"menutupi; penutup; jaket debu, lagu cover; versi sampul, cakupan, untuk mengkompensasi (kerugian); untuk mengimbangi (kelemahan); untuk cadangan"
"カラー";"karaa";"kerah, warna, pewarnaan rambut (pewarnaan), calla (varietas arum lily)"
"カロリー";"karorii";"kalori"
"カーブ";"kaabu";"melengkung; berbelok; tikungan, bola lengkung; ruang bawah tanah bola melengkung, (anggur)."
"ガム";"gamu";"permen karet, permen karet; karet ; Guam"
"キャンパス";"kyanpasu";"kampus"
"ギャング";"gyangu";"geng, gangster"
"クリーニング";"kuriiningu";"pembersihan; cuci kering; layanan binatu"
"クーラー";"kuuraa";"AC, lebih dingin"
